exercise_id,exercise_name,body_part,equipment,primary_muscle,secondary_muscles,movement_pattern,tracking_supported,instructions,gif_url
11,arm slingers hanging straight legs,waist,body weight,abs,"shoulders, back",other,no,"hang from a pull-up bar with your arms fully extended and your legs straight down. engage your core and lift your legs up in front of you until they are parallel to the ground. hold for a moment at the top, then slowly lower your legs back down to the starting position. repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/yzS2EjySGDLmhh
12,arms apart circular toe touch (male),upper legs,body weight,glutes,"hamstrings, quadriceps, calves",knee_flexion,yes,"stand with your feet shoulder-width apart and arms extended to the sides. keeping your legs straight, bend forward at the waist and reach down towards your toes with your right hand. as you reach down, simultaneously lift your left leg straight up behind you, maintaining balance. return to the starting position and repeat the movement with your left hand reaching towards your toes and your right leg lifting up behind you. continue alternating sides for the desired number of repetitions.",https://v2.exercisedb.io/image/sGs-MoFgyniLX4
13,arms overhead full sit-up (male),waist,body weight,abs,"hip flexors, lower back",other,no,"lie flat on your back with your knees bent and feet flat on the ground. extend your arms overhead, keeping them straight. engaging your abs, slowly lift your upper body off the ground, curling forward until your torso is upright. pause for a moment at the top, then slowly lower your upper body back down to the starting position. repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/WzINsIEOqFbBXG
14,assisted chest dip (kneeling),chest,leverage machine,pectorals,"triceps, shoulders",other,no,"adjust the machine to your desired height and secure your knees on the pad. grasp the handles with your palms facing down and your arms fully extended. lower your body by bending your elbows until your upper arms are parallel to the floor. pause for a moment, then push yourself back up to the starting position. repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/AbxK1fjW5YdIBj
15,assisted hanging knee raise,waist,assisted,abs,hip flexors,other,no,"hang from a pull-up bar with your arms fully extended and your palms facing away from you. engage your core muscles and lift your knees towards your chest, bending at the hips and knees. pause for a moment at the top of the movement, squeezing your abs. slowly lower your legs back down to the starting position. repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/dgsJoe9nZI6G3Z
16,assisted hanging knee raise with throw down,waist,assisted,abs,"hip flexors, lower back",other,no,"hang from a pull-up bar with your arms fully extended and your palms facing away from you. engage your core and lift your knees towards your chest, keeping your legs together. once your knees are at chest level, explosively throw your legs down towards the ground, extending them fully. allow your legs to swing back up and repeat the movement for the desired number of repetitions.",https://v2.exercisedb.io/image/apDkfV7kzgRGlV
17,assisted lying calves stretch,lower legs,assisted,calves,hamstrings,other,no,"lie on your back with your legs extended. bend one knee and place your foot flat on the ground. using your hands or a towel, gently pull your toes towards your body, feeling a stretch in your calf. hold the stretch for 20-30 seconds. release the stretch and repeat on the other leg.",https://v2.exercisedb.io/image/FHWElls92kFz7u
18,assisted lying glutes stretch,upper legs,assisted,glutes,hamstrings,knee_flexion,yes,"lie on your back with your legs extended. bend your right knee and place your right ankle on your left thigh, just above the knee. grasp your left thigh with both hands and gently pull it towards your chest. hold the stretch for 20-30 seconds. release and repeat on the other side.",https://v2.exercisedb.io/image/pIPCvG-7PYwJyb
19,assisted lying gluteus and piriformis stretch,upper legs,assisted,glutes,hamstrings,knee_flexion,yes,"lie on your back with your legs extended. bend your right knee and place your right ankle on your left thigh, just above the knee. grasp your left thigh with both hands and gently pull it towards your chest. hold the stretch for 20-30 seconds. release the stretch and repeat on the other side.",https://v2.exercisedb.io/image/re-rcIyamJTP9k
20,assisted lying leg raise with lateral throw down,waist,assisted,abs,"hip flexors, obliques",other,no,"lie flat on your back with your legs extended and your arms by your sides. place your hands under your glutes for support. engage your abs and lift your legs off the ground, keeping them straight. while keeping your legs together, lower them to one side until they are a few inches above the ground. pause for a moment, then lift your legs back to the starting position. repeat the movement to the other side. continue alternating sides for the desired number of repetitions.",https://v2.exercisedb.io/image/tcoPW9l8mI0o23
21,assisted lying leg raise with throw down,waist,assisted,abs,"hip flexors, quadriceps",other,no,"lie flat on your back with your legs extended and your arms by your sides. place your hands under your glutes for support. engage your core and lift your legs off the ground, keeping them straight. raise your legs until they are perpendicular to the ground. lower your legs back down to the starting position. simultaneously, throw your legs down towards the ground, keeping them straight. raise your legs back up to the starting position. repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/bB-NQ-AJzljNQK
22,assisted motion russian twist,waist,medicine ball,abs,"obliques, lower back",other,no,"sit on the ground with your knees bent and feet flat on the floor. hold the medicine ball with both hands in front of your chest. lean back slightly, engaging your abs and keeping your back straight. slowly twist your torso to the right, bringing the medicine ball towards the right side of your body. pause for a moment, then twist your torso to the left, bringing the medicine ball towards the left side of your body. continue alternating sides for the desired number of repetitions.",https://v2.exercisedb.io/image/QnFyADdqWwnFB5
23,assisted parallel close grip pull-up,back,leverage machine,lats,"biceps, forearms",other,no,"adjust the machine to your desired weight and height. place your hands on the parallel bars with a close grip, palms facing each other. hang from the bars with your arms fully extended and your feet off the ground. engage your back muscles and pull your body up towards the bars, keeping your elbows close to your body. continue pulling until your chin is above the bars. pause for a moment at the top, then slowly lower your body back down to the starting position. repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/dV2Lj3p2pfkt4c
24,assisted prone hamstring,upper legs,assisted,hamstrings,"glutes, lower back",knee_flexion,yes,"lie face down on a mat or bench with your legs fully extended. have a partner or use a resistance band to secure your ankles. engage your hamstrings and lift your legs towards your glutes, keeping your knees straight. pause for a moment at the top, then slowly lower your legs back down to the starting position. repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/ytpSbFtNhvVICC
25,assisted prone lying quads stretch,upper legs,assisted,quads,"hamstrings, glutes",other,no,"lie face down on the ground with your legs extended. bend your left knee and reach back with your left hand to grab your left foot or ankle. gently pull your left foot towards your glutes, feeling a stretch in your left quad. hold the stretch for 20-30 seconds, then release. repeat with your right leg.",https://v2.exercisedb.io/image/s55xDjQ5-0dYhP
26,assisted prone rectus femoris stretch,waist,assisted,abs,quadriceps,other,no,"lie face down on the ground with your legs straight. bend your right knee and reach back with your right hand to grab your right foot or ankle. gently pull your right foot or ankle towards your glutes, feeling a stretch in the front of your right thigh. hold the stretch for 20-30 seconds. release and repeat on the other side.",https://v2.exercisedb.io/image/KVV3sh0QGYv-NJ
27,assisted pull-up,back,leverage machine,lats,"biceps, forearms",other,no,"adjust the machine to your desired weight and height settings. grasp the handles with an overhand grip, slightly wider than shoulder-width apart. hang with your arms fully extended and your feet off the ground. engage your back muscles and pull your body up towards the handles, keeping your elbows close to your body. continue pulling until your chin is above the handles. pause for a moment at the top, then slowly lower your body back down to the starting position. repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/rFSbsEA3x-wTKy
28,assisted seated pectoralis major stretch with stability ball,chest,assisted,pectorals,"shoulders, triceps",other,no,"sit on a stability ball with your feet flat on the ground and your back straight. hold a stability ball with both hands and extend your arms straight out in front of you. slowly lower the stability ball towards your chest, feeling a stretch in your pectoral muscles. hold the stretch for a few seconds, then slowly return to the starting position. repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/V4PlYYE0rlK7tY
29,assisted side lying adductor stretch,upper legs,assisted,adductors,"hamstrings, glutes",other,no,"lie on your side with your legs straight and stacked on top of each other. bend your bottom leg slightly for stability. place your top foot on a stable surface, such as a bench or step. keeping your top leg straight, slowly lower it towards the ground, feeling a stretch in your inner thigh. hold the stretch for 20-30 seconds. return to the starting position and repeat on the other side.",https://v2.exercisedb.io/image/OZz8IVRYN5EMiU
30,assisted sit-up,waist,assisted,abs,hip flexors,other,no,"sit on the edge of a bench or have someone hold your feet down. lie flat on your back with your knees bent and feet flat on the ground. place your hands behind your head with your elbows pointing outwards. engaging your abs, slowly lift your upper body off the ground, curling forward until your torso is at a 45-degree angle. pause for a moment at the top, then slowly lower your upper body back down to the starting position. repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/XlUw13FKk3bpyO
31,assisted standing chin-up,back,leverage machine,lats,"biceps, forearms",other,no,"adjust the machine to your desired assistance level. stand on the foot platform and grip the handles with an overhand grip, slightly wider than shoulder-width apart. keep your chest up and shoulders back, engage your core, and slightly bend your knees. pull your body up by flexing your elbows and driving your elbows down towards your sides. continue pulling until your chin is above the bar. pause for a moment at the top, then slowly lower your body back down to the starting position. repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/iD6I6vHUV4flxZ
32,assisted standing pull-up,back,leverage machine,lats,"biceps, forearms",other,no,"adjust the machine to your desired weight and height settings. stand facing the machine with your feet shoulder-width apart. grasp the handles with an overhand grip, slightly wider than shoulder-width apart. engage your lats and biceps, and pull yourself up towards the handles. pause for a moment at the top, squeezing your back muscles. slowly lower yourself back down to the starting position. repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/FBiUSf5E1HdC7s
33,assisted standing triceps extension (with towel),upper arms,assisted,triceps,shoulders,elbow_flexion,yes,"stand with your feet shoulder-width apart and hold a towel with both hands behind your head. keep your elbows close to your ears and your upper arms stationary. slowly extend your forearms upward, squeezing your triceps at the top. pause for a moment, then slowly lower the towel back down to the starting position. repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/qnqFpisTx9R-gB
34,assisted triceps dip (kneeling),upper arms,leverage machine,triceps,"chest, shoulders",elbow_flexion,yes,"adjust the machine to your desired weight and height. kneel down on the pad facing the machine, with your hands gripping the handles. lower your body by bending your elbows, keeping your back straight and close to the machine. pause for a moment at the bottom, then push yourself back up to the starting position. repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/Wr9I3UD5-miI3Y
35,assisted wide-grip chest dip (kneeling),chest,leverage machine,pectorals,"triceps, shoulders",other,no,adjust the machine to your desired height and secure your knees on the pad. grasp the handles with a wide grip and keep your elbows slightly bent. lower your body by bending your elbows until your upper arms are parallel to the floor. push yourself back up to the starting position by extending your arms. repeat for the desired number of repetitions.,https://v2.exercisedb.io/image/9RWiaQoGBGogXv
36,astride jumps (male),cardio,body weight,cardiovascular system,"quadriceps, hamstrings, calves",other,no,"stand with your feet shoulder-width apart. bend your knees and lower your body into a squat position. jump explosively upwards, extending your legs and arms. while in the air, spread your legs apart and bring your arms out to the sides. land softly with your feet shoulder-width apart, bending your knees to absorb the impact. repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/GzvxMK5EkJ6H43
37,back and forth step,cardio,body weight,cardiovascular system,"quadriceps, hamstrings, glutes, calves",other,no,"stand with your feet shoulder-width apart. step forward with your right foot, bending your knee and lowering your body into a lunge position. push off with your right foot and step back to the starting position. repeat the movement with your left foot, alternating legs with each step. continue stepping back and forth, maintaining a steady pace. repeat for the desired duration or number of repetitions.",https://v2.exercisedb.io/image/akGmnMj1gqgJU3
38,back extension on exercise ball,back,stability ball,spine,"glutes, hamstrings",other,no,"place the stability ball on the ground and lie face down on top of it, with your hips resting on the ball and your feet against a wall or other stable surface. position your hands behind your head or crossed over your chest. engage your core and slowly lift your upper body off the ball, extending your back until your body forms a straight line from your head to your heels. pause for a moment at the top, then slowly lower your upper body back down to the starting position. repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/ukCeypFhLV0YC6
39,back lever,back,body weight,upper back,"biceps, forearms, core",other,no,"start by hanging from a pull-up bar with an overhand grip, hands slightly wider than shoulder-width apart. engage your core and pull your shoulder blades down and back. bend your knees and tuck them towards your chest. slowly lift your legs up, keeping them straight, until your body is parallel to the ground. hold this position for a few seconds, then slowly lower your legs back down to the starting position. repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/tbNQwmPPyh4Eds
40,back pec stretch,back,body weight,lats,"shoulders, chest",other,no,"stand tall with your feet shoulder-width apart. extend your arms straight out in front of you, parallel to the ground. cross your arms in front of your body, with your right arm over your left arm. interlock your fingers and rotate your palms away from your body. slowly raise your arms up and away from your body, feeling a stretch in your back and chest. hold the stretch for 15-30 seconds, then release. repeat on the opposite side.",https://v2.exercisedb.io/image/RWvKeWqoM6lpAb
41,backward jump,upper legs,body weight,quads,"hamstrings, glutes, calves",other,no,"stand with your feet shoulder-width apart. bend your knees slightly and jump backwards, pushing off with both feet. land softly on the balls of your feet, bending your knees to absorb the impact. repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/HHJUonCfKdoEpz
42,balance board,upper legs,body weight,quads,"calves, hamstrings, glutes",other,no,"place the balance board on a flat surface. step onto the balance board with one foot, ensuring it is centered. slowly shift your weight onto the foot on the balance board, keeping your core engaged. maintain your balance and stability as you hold the position for a desired amount of time. repeat the exercise with the other foot.",https://v2.exercisedb.io/image/WDnFXk4aWMCJJi
43,band alternating biceps curl,upper arms,band,biceps,forearms,elbow_flexion,yes,"stand with your feet shoulder-width apart and hold the band with an underhand grip, palms facing up. keep your elbows close to your sides and slowly curl one arm up towards your shoulder, squeezing your biceps at the top. lower the arm back down to the starting position and repeat with the other arm. continue alternating arms for the desired number of repetitions.",https://v2.exercisedb.io/image/y5DNwJsa0ZCGV3
44,band alternating v-up,waist,band,abs,hip flexors,other,no,"lie flat on your back with your legs straight and your arms extended overhead, holding the band. engage your abs and lift your legs and upper body off the ground simultaneously, reaching your hands towards your toes. as you lower your legs and upper body back down, switch the position of your legs, crossing one over the other. repeat the movement, alternating the position of your legs with each repetition. continue for the desired number of repetitions.",https://v2.exercisedb.io/image/3aZxWHvfEhzXVc
45,band assisted pull-up,back,band,lats,"biceps, forearms",other,no,"attach the band to a pull-up bar or sturdy anchor point. step onto the band and grip the bar with your palms facing away from you, hands slightly wider than shoulder-width apart. hang with your arms fully extended, keeping your core engaged and your shoulders down and back. pull your body up towards the bar by squeezing your shoulder blades together and driving your elbows down towards your hips. continue pulling until your chin is above the bar, then slowly lower yourself back down to the starting position. repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/dskU4kGOd518yz
46,band assisted wheel rollerout,waist,band,abs,lower back,other,no,"kneel on the floor and hold the handles of the band with both hands, palms facing down. place the band on the ground in front of you and position your hands shoulder-width apart. engage your core and slowly roll the wheel forward, extending your body as far as you can while maintaining control. pause for a moment at the furthest point, then slowly roll the wheel back towards your knees to return to the starting position. repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/G-DQIUeMowP21I
47,band bench press,chest,band,pectorals,"triceps, shoulders",other,no,"lie flat on a bench with your feet flat on the ground and your back pressed against the bench. grasp the band handles with an overhand grip, slightly wider than shoulder-width apart. extend your arms fully, pushing the bands away from your chest. slowly lower the bands back down to your chest, keeping your elbows at a 90-degree angle. repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/oyWqo0D8zSMbyD
48,band bent-over hip extension,upper legs,band,glutes,"hamstrings, lower back",knee_flexion,yes,"attach the band to a sturdy anchor point at ankle height. stand facing away from the anchor point with your feet shoulder-width apart. step back to create tension in the band, keeping your knees slightly bent. hinge at the hips and lean forward, maintaining a neutral spine. extend your right leg straight back, squeezing your glutes at the top. lower your right leg back down and repeat with the left leg. continue alternating legs for the desired number of repetitions.",https://v2.exercisedb.io/image/IqkGQertTRdlLS
49,band bicycle crunch,waist,band,abs,"hip flexors, obliques",other,no,"lie flat on your back with your hands behind your head and your knees bent. lift your feet off the ground and bring your right knee towards your chest while simultaneously twisting your torso to bring your left elbow towards your right knee. straighten your right leg while bringing your left knee towards your chest and twisting your torso to bring your right elbow towards your left knee. continue alternating the twisting motion, as if you are pedaling a bicycle, while keeping your core engaged throughout the movement. repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/TLPldSbVb1qVb6
50,band close-grip pulldown,back,band,lats,"biceps, forearms",other,no,"attach the band to a high anchor point, such as a pull-up bar or sturdy beam. stand facing the anchor point and grab the band with an underhand grip, hands shoulder-width apart. step back to create tension in the band, keeping your feet hip-width apart. engage your core and keep your back straight as you pull the band down towards your chest, squeezing your shoulder blades together. pause for a moment at the bottom of the movement, then slowly release the band back to the starting position. repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/swRMjq6S04wu03
51,band close-grip push-up,upper arms,band,triceps,"chest, shoulders",elbow_flexion,yes,"place a band around your upper arms, just above the elbows. assume a push-up position with your hands directly under your shoulders and your body in a straight line from head to heels. bend your elbows and lower your chest towards the ground, keeping your elbows close to your sides. push through your palms to extend your arms and return to the starting position. repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/bepXYwVrQpSP7W
52,band concentration curl,upper arms,band,biceps,forearms,elbow_flexion,yes,"sit on a bench or chair with your legs spread apart and your feet flat on the ground. hold one end of the band in your hand and step on the other end with your foot on the same side. lean forward slightly and rest your elbow on the inside of your thigh, just above the knee. with your palm facing up, slowly curl your hand towards your shoulder, keeping your upper arm stationary. pause for a moment at the top, then slowly lower your hand back down to the starting position. repeat for the desired number of repetitions, then switch sides.",https://v2.exercisedb.io/image/-FDJYdjMlHuHvl
53,band fixed back close grip pulldown,back,band,lats,"biceps, forearms",other,no,"attach the band to a fixed point above you, such as a pull-up bar or sturdy beam. sit down on a bench or chair facing the band, with your feet flat on the ground and your knees bent. grasp the band with a close grip, palms facing towards you. keep your back straight and engage your core. pull the band down towards your chest, squeezing your shoulder blades together. pause for a moment at the bottom of the movement, feeling the contraction in your lats. slowly release the band back to the starting position, maintaining control throughout the movement. repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/5GaQGExwrKb3Fc
54,band fixed back underhand pulldown,back,band,lats,"biceps, rhomboids, rear deltoids",other,no,"attach the band to a sturdy anchor point above your head. stand facing the anchor point with your feet shoulder-width apart. grasp the band with an underhand grip, hands slightly wider than shoulder-width apart. step back to create tension in the band, keeping your arms fully extended. engage your core and squeeze your shoulder blades together. pull the band down towards your chest, leading with your elbows. pause for a moment at the bottom of the movement, feeling the contraction in your lats. slowly release the tension in the band and return to the starting position. repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/GMidnBMq5aUiEa
55,band front lateral raise,shoulders,band,delts,"traps, upper back",other,no,"stand with your feet shoulder-width apart and hold the band in front of your thighs with your palms facing down. keep your arms straight and lift the band up in front of you until your arms are parallel to the ground. pause for a moment at the top, then slowly lower the band back down to the starting position. repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/Lnwg2eVOyiGGH1
56,band front raise,shoulders,band,delts,"triceps, upper back",other,no,"stand with your feet shoulder-width apart and hold the band in front of your thighs with your palms facing down. keep your arms straight and slowly raise them forward until they are parallel to the ground. pause for a moment at the top, then slowly lower your arms back down to the starting position. repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/jbfxRRc0JKrcCT
57,band hip lift,upper legs,band,glutes,"hamstrings, quadriceps",knee_flexion,yes,"lie on your back with your knees bent and feet flat on the ground. place a resistance band just above your knees. engage your glutes and core muscles. press your heels into the ground and lift your hips off the floor, squeezing your glutes at the top. pause for a moment at the top, then slowly lower your hips back down to the starting position. repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/KdWV-YloMq0lm9
58,band horizontal pallof press,waist,band,abs,"obliques, glutes",other,no,"attach the band to a sturdy anchor point at waist height. stand perpendicular to the anchor point with your feet shoulder-width apart. grasp the band handle with both hands and step away from the anchor point to create tension in the band. bring your hands to your chest, keeping your elbows bent and close to your body. engage your core and maintain a stable stance. extend your arms straight out in front of you, pushing the band away from your body. hold the extended position for a few seconds, focusing on maintaining tension in your core. slowly bring your hands back to your chest, resisting the pull of the band. repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/56aCylySUzvGs1
59,band jack knife sit-up,waist,band,abs,hip flexors,other,no,"lie flat on your back with your legs straight and your arms extended overhead, holding the band. engage your abs and lift your legs and upper body simultaneously, bringing your hands towards your feet. pause for a moment at the top, then slowly lower your legs and upper body back down to the starting position. repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/b1YfIUjoDdQK8u
60,band kneeling one arm pulldown,back,band,lats,"biceps, rhomboids",other,no,"attach the band to a sturdy anchor point above your head. kneel down and hold the band with one hand, palm facing down. extend your arm fully overhead, keeping your elbow slightly bent. engage your lat muscles and pull the band down towards your side, bringing your elbow towards your ribcage. pause for a moment at the bottom, then slowly release the tension and return to the starting position. repeat for the desired number of repetitions, then switch sides.",https://v2.exercisedb.io/image/JQVOWrxtB2giPX
61,band kneeling twisting crunch,waist,band,abs,obliques,other,no,"attach the band to a sturdy anchor point at waist height. kneel down facing away from the anchor point and hold the band with both hands, keeping your elbows bent and close to your sides. engage your abs and slowly twist your torso to one side, bringing your hands towards your opposite hip. pause for a moment, then slowly return to the starting position. repeat on the other side. continue alternating sides for the desired number of repetitions.",https://v2.exercisedb.io/image/Wdw0k2yOFiVj8G
62,band lying hip internal rotation,upper legs,band,glutes,"hamstrings, quadriceps",knee_flexion,yes,"lie on your back with your legs straight and a resistance band looped around your feet. bend your knees and bring them towards your chest, keeping your feet together. slowly rotate your knees outwards, away from each other, while keeping your feet together. pause for a moment at the end of the rotation, then slowly return to the starting position. repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/jWZdVY1StuoGvO
63,band lying straight leg raise,waist,band,abs,hip flexors,other,no,"lie flat on your back with your legs straight and your feet together. place the band around the arches of your feet and hold the ends of the band with your hands. engaging your abs, lift both legs off the ground until they are perpendicular to the floor. pause for a moment at the top, then slowly lower your legs back down to the starting position. repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/gHDAaME6JOJp6l
64,band one arm overhead biceps curl,upper arms,band,biceps,"forearms, shoulders",elbow_flexion,yes,"stand with your feet shoulder-width apart and place one end of the band under your foot. hold the other end of the band with your arm fully extended overhead, palm facing forward. keeping your upper arm stationary, curl your forearm towards your shoulder, squeezing your biceps. pause for a moment at the top, then slowly lower your forearm back to the starting position. repeat for the desired number of repetitions, then switch arms.",https://v2.exercisedb.io/image/FwI2FmWyR25JVQ
65,band one arm single leg split squat,upper legs,band,quads,"glutes, hamstrings",other,no,"stand with your feet hip-width apart and place a resistance band around your ankles. extend one leg forward and rest the top of your foot on a bench or step behind you. hold onto a support with one hand for balance. bend your standing leg and lower your body down into a squat position, keeping your knee in line with your toes. push through your heel to return to the starting position. repeat for the desired number of repetitions, then switch legs.",https://v2.exercisedb.io/image/R6UsFbw3QI464s
66,band one arm standing low row,back,band,upper back,"biceps, shoulders",other,no,"attach the band to a stable anchor point at waist height. stand facing the anchor point with your feet shoulder-width apart. hold the band with one hand, palm facing inward, and step back to create tension in the band. bend your knees slightly and hinge forward at the hips, keeping your back straight. pull the band towards your waist, squeezing your shoulder blades together. pause for a moment at the top of the movement, then slowly release the band back to the starting position. repeat for the desired number of repetitions, then switch sides.",https://v2.exercisedb.io/image/tToiFlCsLyrHUn
67,band one arm twisting chest press,chest,band,pectorals,"shoulders, triceps",other,no,"attach the band to a sturdy anchor point at chest height. stand with your side facing the anchor point and grab the band with one hand. step away from the anchor point to create tension in the band. position your feet shoulder-width apart and slightly bend your knees. bring your hand holding the band across your body, towards the opposite shoulder. while maintaining tension in the band, push your hand forward and away from your body, extending your arm. slowly return to the starting position and repeat for the desired number of repetitions. switch sides and repeat the exercise with the other hand.",https://v2.exercisedb.io/image/DTf-uZqoHjtf1-
68,band one arm twisting seated row,back,band,upper back,"biceps, shoulders",other,no,"sit on a bench or chair with your feet flat on the ground and your back straight. hold the band with one hand and extend your arm fully in front of you. keeping your back straight, pull the band towards your body by bending your elbow and squeezing your shoulder blades together. at the same time, twist your torso towards the side of the pulling arm. pause for a moment at the top, then slowly release the tension in the band and return to the starting position. repeat for the desired number of repetitions, then switch to the other arm.",https://v2.exercisedb.io/image/2nRcOE7GfIEp8i
69,band pull through,upper legs,band,glutes,"hamstrings, lower back",knee_flexion,yes,"attach a resistance band to a sturdy anchor point at ground level. stand facing away from the anchor point with your feet shoulder-width apart. step forward to create tension in the band, keeping your knees slightly bent. hinge at the hips and push your glutes back, maintaining a slight bend in your knees. lower your torso until it is parallel to the ground, feeling a stretch in your hamstrings. drive your hips forward and squeeze your glutes to return to the starting position. repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/6T-OLH3UheXIkr
70,band push sit-up,waist,band,abs,"shoulders, chest",other,no,"attach the band securely to a stable anchor point. lie flat on your back with your knees bent and feet flat on the ground. hold the band with both hands and extend your arms straight up towards the ceiling. engaging your abs, slowly lift your upper body off the ground, curling forward until your torso is at a 45-degree angle. pause for a moment at the top, then slowly lower your upper body back down to the starting position. repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/laNCbGnyNwVNGe
