Name,Target_Muscle,Equipment,Video_URL,Difficulty,Type,Check_Type,Avoid_If,Progression_Next,Alternative_Swap,Wger_Image_URL
Assisted Standing Chin-Up,Back,Leverage Machine,https://www.youtube.com/embed?listType=search&list=Assisted+Standing+Chin-Up+exercise+tutorial+proper+form,Intermediate,Compound,general_logic,Back Pain,Assisted Standing Pull-Up,Weighted Muscle Up (On Bar),
Assisted Standing Pull-Up,Back,Leverage Machine,https://www.youtube.com/embed?listType=search&list=Assisted+Standing+Pull-Up+exercise+tutorial+proper+form,Intermediate,Compound,general_logic,Back Pain,Back Extension On Exercise Ball,Weighted Muscle Up,
Assisted Standing Triceps Extension (With Towel),Upper Arms,Assisted,https://www.youtube.com/embed?listType=search&list=Assisted+Standing+Triceps+Extension+%28With+Towel%29+exercise+tutorial+proper+form,Beginner,Compound,general_logic,,Assisted Triceps Dip (Kneeling),Weighted Triceps Dip On High Parallel Bars,
Assisted Triceps Dip (Kneeling),Upper Arms,Leverage Machine,https://www.youtube.com/embed?listType=search&list=Assisted+Triceps+Dip+%28Kneeling%29+exercise+tutorial+proper+form,Advanced,Compound,dip_logic,,Band Alternating Biceps Curl,Weighted Tricep Dips,
Assisted Wide-Grip Chest Dip (Kneeling),Chest,Leverage Machine,https://www.youtube.com/embed?listType=search&list=Assisted+Wide-Grip+Chest+Dip+%28Kneeling%29+exercise+tutorial+proper+form,Intermediate,Compound,dip_logic,,Band Bench Press,Weighted Straight Bar Dip,
Astride Jumps (Male),Cardio,Body Weight,https://www.youtube.com/embed?listType=search&list=Astride+Jumps+%28Male%29+exercise+tutorial+proper+form,Intermediate,Compound,general_logic,,Back And Forth Step,Wheel Run,
Back And Forth Step,Cardio,Body Weight,https://www.youtube.com/embed?listType=search&list=Back+And+Forth+Step+exercise+tutorial+proper+form,Intermediate,Compound,general_logic,,Bear Crawl,Walking On Stepmill,
Back Extension On Exercise Ball,Back,Stability Ball,https://www.youtube.com/embed?listType=search&list=Back+Extension+On+Exercise+Ball+exercise+tutorial+proper+form,Beginner,Compound,general_logic,Back Pain,Back Lever,Weighted Hyperextension (On Stability Ball),
Back Lever,Back,Body Weight,https://www.youtube.com/embed?listType=search&list=Back+Lever+exercise+tutorial+proper+form,Intermediate,Compound,general_logic,Back Pain,Back Pec Stretch,Weighted Close Grip Chin-Up On Dip Cage,
Back Pec Stretch,Back,Body Weight,https://www.youtube.com/embed?listType=search&list=Back+Pec+Stretch+exercise+tutorial+proper+form,Advanced,Compound,general_logic,Back Pain,Band Assisted Pull-Up,Upward Facing Dog,
Backward Jump,Upper Legs,Body Weight,https://www.youtube.com/embed?listType=search&list=Backward+Jump+exercise+tutorial+proper+form,Intermediate,Compound,general_logic,Knee Pain,Balance Board,Twist Hip Lift,
Balance Board,Upper Legs,Body Weight,https://www.youtube.com/embed?listType=search&list=Balance+Board+exercise+tutorial+proper+form,Beginner,Compound,general_logic,Knee Pain,Band Bent-Over Hip Extension,Trap Bar Deadlift,
Band Alternating Biceps Curl,Upper Arms,Band,,Beginner,Compound,curl_logic,,Band Close-Grip Push-Up,Weighted Three Bench Dips,https://wger.de/media/exercise-images/1012/8270fdb8-28f1-4eff-b410-af8642085b3f.png
Band Alternating V-Up,Waist,Band,https://www.youtube.com/embed?listType=search&list=Band+Alternating+V-Up+exercise+tutorial+proper+form,Advanced,Compound,general_logic,Back Pain,Band Assisted Wheel Rollerout,Twisted Leg Raise (Female),
Band Assisted Pull-Up,Back,Band,https://www.youtube.com/embed?listType=search&list=Band+Assisted+Pull-Up+exercise+tutorial+proper+form,Advanced,Compound,general_logic,Back Pain,Band Close-Grip Pulldown,Upper Back Stretch,
Band Assisted Wheel Rollerout,Waist,Band,https://www.youtube.com/embed?listType=search&list=Band+Assisted+Wheel+Rollerout+exercise+tutorial+proper+form,Intermediate,Compound,general_logic,Back Pain,Band Bicycle Crunch,Twisted Leg Raise,
Band Bench Press,Chest,Band,,Beginner,Compound,press_logic,,Band One Arm Twisting Chest Press,Weighted Drop Push Up,https://wger.de/media/exercise-images/192/Bench-press-1.png
Band Bent-Over Hip Extension,Upper Legs,Band,https://www.youtube.com/embed?listType=search&list=Band+Bent-Over+Hip+Extension+exercise+tutorial+proper+form,Intermediate,Compound,general_logic,Knee Pain,Band Hip Lift,Tire Flip,
Band Bicycle Crunch,Waist,Band,https://www.youtube.com/embed?listType=search&list=Band+Bicycle+Crunch+exercise+tutorial+proper+form,Beginner,Compound,crunch_logic,Back Pain,Band Horizontal Pallof Press,Tuck Crunch,
Band Close-Grip Pulldown,Back,Band,,Intermediate,Compound,general_logic,Back Pain,Band Fixed Back Close Grip Pulldown,Two Toe Touch (Male),https://wger.de/media/exercise-images/158/02e8a7c3-dc67-434e-a4bc-77fdecf84b49.webp
Band Close-Grip Push-Up,Upper Arms,Band,,Intermediate,Compound,pushup_logic,,Band Concentration Curl,Weighted Standing Curl,https://wger.de/media/exercise-images/1551/a6a9e561-3965-45c6-9f2b-ee671e1a3a45.png
Band Concentration Curl,Upper Arms,Band,,Intermediate,Compound,curl_logic,,Band One Arm Overhead Biceps Curl,Weighted Seated Bicep Curl (On Stability Ball),https://wger.de/media/exercise-images/1649/441cc0e5-eca2-4828-8b0a-a0e554abb2ff.jpg
Band Fixed Back Close Grip Pulldown,Back,Band,https://www.youtube.com/embed?listType=search&list=Band+Fixed+Back+Close+Grip+Pulldown+exercise+tutorial+proper+form,Beginner,Compound,general_logic,Back Pain,Band Fixed Back Underhand Pulldown,Twin Handle Parallel Grip Lat Pulldown,
Band Fixed Back Underhand Pulldown,Back,Band,https://www.youtube.com/embed?listType=search&list=Band+Fixed+Back+Underhand+Pulldown+exercise+tutorial+proper+form,Beginner,Compound,general_logic,Back Pain,Band Kneeling One Arm Pulldown,Suspended Row,
Band Front Lateral Raise,Shoulders,Band,https://www.youtube.com/embed?listType=search&list=Band+Front+Lateral+Raise+exercise+tutorial+proper+form,Intermediate,Compound,general_logic,Shoulder Pain,Band Front Raise,Weighted Round Arm,
Band Front Raise,Shoulders,Band,,Advanced,Compound,general_logic,Shoulder Pain,Band Reverse Fly,Weighted Kneeling Step With Swing,https://wger.de/media/exercise-images/256/b7def5bc-2352-499b-b9e5-fff741003831.png
Band Hip Lift,Upper Legs,Band,https://www.youtube.com/embed?listType=search&list=Band+Hip+Lift+exercise+tutorial+proper+form,Intermediate,Compound,general_logic,Knee Pain,Band Lying Hip Internal Rotation,Swimmer Kicks V. 2 (Male),
Band Horizontal Pallof Press,Waist,Band,,Beginner,Compound,press_logic,Back Pain,Band Jack Knife Sit-Up,Suspended Reverse Crunch,https://wger.de/media/exercise-images/1194/074e1766-4208-4a67-a211-9721772d99b0.png
Band Jack Knife Sit-Up,Waist,Band,https://www.youtube.com/embed?listType=search&list=Band+Jack+Knife+Sit-Up+exercise+tutorial+proper+form,Beginner,Compound,general_logic,Back Pain,Band Kneeling Twisting Crunch,Suspended Abdominal Fallout,
Band Kneeling One Arm Pulldown,Back,Band,https://www.youtube.com/embed?listType=search&list=Band+Kneeling+One+Arm+Pulldown+exercise+tutorial+proper+form,Intermediate,Compound,general_logic,Back Pain,Band One Arm Standing Low Row,Standing Pelvic Tilt,
Band Kneeling Twisting Crunch,Waist,Band,https://www.youtube.com/embed?listType=search&list=Band+Kneeling+Twisting+Crunch+exercise+tutorial+proper+form,Beginner,Compound,crunch_logic,Back Pain,Band Lying Straight Leg Raise,Straddle Planche,
Band Lying Hip Internal Rotation,Upper Legs,Band,https://www.youtube.com/embed?listType=search&list=Band+Lying+Hip+Internal+Rotation+exercise+tutorial+proper+form,Beginner,Compound,general_logic,Knee Pain,Band One Arm Single Leg Split Squat,Suspended Split Squat,https://wger.de/media/exercise-images/1582/5094fe30-eea2-4269-b0de-4b8a20558fd7.png
Band Lying Straight Leg Raise,Waist,Band,https://www.youtube.com/embed?listType=search&list=Band+Lying+Straight+Leg+Raise+exercise+tutorial+proper+form,Intermediate,Compound,general_logic,Back Pain,Band Push Sit-Up,Straddle Maltese,
Band One Arm Overhead Biceps Curl,Upper Arms,Band,https://www.youtube.com/embed?listType=search&list=Band+One+Arm+Overhead+Biceps+Curl+exercise+tutorial+proper+form,Beginner,Compound,curl_logic,,Band Side Triceps Extension,Weighted Bench Dip,
Band One Arm Single Leg Split Squat,Upper Legs,Band,https://www.youtube.com/embed?listType=search&list=Band+One+Arm+Single+Leg+Split+Squat+exercise+tutorial+proper+form,Intermediate,Compound,squat_logic,Knee Pain,Band Pull Through,Straight Leg Outer Hip Abductor,
Band One Arm Standing Low Row,Back,Band,https://www.youtube.com/embed?listType=search&list=Band+One+Arm+Standing+Low+Row+exercise+tutorial+proper+form,Intermediate,Compound,row_logic,Back Pain,Band One Arm Twisting Seated Row,Standing Lateral Stretch,
Band One Arm Twisting Chest Press,Chest,Band,https://www.youtube.com/embed?listType=search&list=Band+One+Arm+Twisting+Chest+Press+exercise+tutorial+proper+form,Beginner,Compound,press_logic,,Barbell Bench Press,Suspended Push-Up,
Band One Arm Twisting Seated Row,Back,Band,https://www.youtube.com/embed?listType=search&list=Band+One+Arm+Twisting+Seated+Row+exercise+tutorial+proper+form,Intermediate,Compound,row_logic,Back Pain,Band Shrug,Standing Archer,
Band Pull Through,Upper Legs,Band,https://www.youtube.com/embed?listType=search&list=Band+Pull+Through+exercise+tutorial+proper+form,Intermediate,Compound,general_logic,Knee Pain,Band Seated Hip Internal Rotation,Standing Single Leg Curl,
Band Push Sit-Up,Waist,Band,https://www.youtube.com/embed?listType=search&list=Band+Push+Sit-Up+exercise+tutorial+proper+form,Intermediate,Compound,general_logic,Back Pain,Band Seated Twist,Standing Wheel Rollerout,https://wger.de/media/exercise-images/1551/a6a9e561-3965-45c6-9f2b-ee671e1a3a45.png
Band Reverse Fly,Shoulders,Band,https://www.youtube.com/embed?listType=search&list=Band+Reverse+Fly+exercise+tutorial+proper+form,Beginner,Compound,general_logic,Shoulder Pain,Band Shoulder Press,Weighted Front Raise,
Band Reverse Wrist Curl,Lower Arms,Band,,Beginner,Compound,curl_logic,,Band Wrist Curl,Wrist Rollerer,https://wger.de/media/exercise-images/51/f1730f56-7aca-4566-8338-3e42b1bee6e1.webp
Band Seated Hip Internal Rotation,Upper Legs,Band,https://www.youtube.com/embed?listType=search&list=Band+Seated+Hip+Internal+Rotation+exercise+tutorial+proper+form,Beginner,Compound,general_logic,Knee Pain,Band Single Leg Split Squat,Standing Hamstring And Calf Stretch With Strap,
Band Seated Twist,Waist,Band,https://www.youtube.com/embed?listType=search&list=Band+Seated+Twist+exercise+tutorial+proper+form,Beginner,Compound,general_logic,Back Pain,Band Standing Crunch,Stability Ball Crunch (Full Range Hands Behind Head),
Band Shoulder Press,Shoulders,Band,https://www.youtube.com/embed?listType=search&list=Band+Shoulder+Press+exercise+tutorial+proper+form,Beginner,Compound,press_logic,Shoulder Pain,Band Standing Rear Delt Row,Standing Behind Neck Press,
Band Shrug,Back,Band,https://www.youtube.com/embed?listType=search&list=Band+Shrug+exercise+tutorial+proper+form,Beginner,Compound,general_logic,Back Pain,Band Straight Leg Deadlift,Spine Stretch,
Band Side Triceps Extension,Upper Arms,Band,,Intermediate,Compound,general_logic,,Barbell Alternate Biceps Curl,Triceps Stretch,https://wger.de/media/exercise-images/50/695ced5c-9961-4076-add2-cb250d01089e.png
Band Single Leg Calf Raise,Lower Legs,Band,,Advanced,Compound,general_logic,Knee Pain,Band Single Leg Reverse Calf Raise,Standing Calves,https://wger.de/media/exercise-images/1243/53d4fabe-c994-4907-873f-8d82813a9832.png
Band Single Leg Reverse Calf Raise,Lower Legs,Band,https://www.youtube.com/embed?listType=search&list=Band+Single+Leg+Reverse+Calf+Raise+exercise+tutorial+proper+form,Beginner,Compound,general_logic,Knee Pain,Band Two Legs Calf Raise - (Band Under Both Legs) V. 2,Standing Calf Raise (On A Staircase),
Band Single Leg Split Squat,Upper Legs,Band,https://www.youtube.com/embed?listType=search&list=Band+Single+Leg+Split+Squat+exercise+tutorial+proper+form,Beginner,Compound,squat_logic,Knee Pain,Band Squat,Squat To Overhead Reach With Twist,
Band Squat,Upper Legs,Band,https://www.youtube.com/embed?listType=search&list=Band+Squat+exercise+tutorial+proper+form,Beginner,Compound,squat_logic,Knee Pain,Band Squat Row,Squat To Overhead Reach,https://wger.de/media/exercise-images/1627/86d0b85a-66b7-4e5f-bf8d-bb4d7eb03f59.webp
Band Squat Row,Upper Legs,Band,https://www.youtube.com/embed?listType=search&list=Band+Squat+Row+exercise+tutorial+proper+form,Intermediate,Compound,squat_logic,Knee Pain,Band Step-Up,Squat On Bosu Ball,
Band Standing Crunch,Waist,Band,https://www.youtube.com/embed?listType=search&list=Band+Standing+Crunch+exercise+tutorial+proper+form,Intermediate,Compound,crunch_logic,Back Pain,Band Standing Twisting Crunch,Spine Twist,
Band Standing Rear Delt Row,Shoulders,Band,https://www.youtube.com/embed?listType=search&list=Band+Standing+Rear+Delt+Row+exercise+tutorial+proper+form,Advanced,Compound,row_logic,Shoulder Pain,Band Twisting Overhead Press,Smith Upright Row,
Band Standing Twisting Crunch,Waist,Band,https://www.youtube.com/embed?listType=search&list=Band+Standing+Twisting+Crunch+exercise+tutorial+proper+form,Beginner,Compound,crunch_logic,Back Pain,Band V-Up,Spell Caster,
Band Step-Up,Upper Legs,Band,https://www.youtube.com/embed?listType=search&list=Band+Step-Up+exercise+tutorial+proper+form,Advanced,Compound,general_logic,Knee Pain,Band Stiff Leg Deadlift,Squat Jerk,
Band Stiff Leg Deadlift,Upper Legs,Band,https://www.youtube.com/embed?listType=search&list=Band+Stiff+Leg+Deadlift+exercise+tutorial+proper+form,Beginner,Compound,general_logic,Knee Pain,Band Straight Back Stiff Leg Deadlift,Split Squats,
Band Straight Back Stiff Leg Deadlift,Upper Legs,Band,https://www.youtube.com/embed?listType=search&list=Band+Straight+Back+Stiff+Leg+Deadlift+exercise+tutorial+proper+form,Intermediate,Compound,general_logic,Knee Pain,Barbell Bench Front Squat,Spider Crawl Push Up,
Band Straight Leg Deadlift,Back,Band,https://www.youtube.com/embed?listType=search&list=Band+Straight+Leg+Deadlift+exercise+tutorial+proper+form,Advanced,Compound,general_logic,Back Pain,Band Underhand Pulldown,Sphinx,
Band Twisting Overhead Press,Shoulders,Band,https://www.youtube.com/embed?listType=search&list=Band+Twisting+Overhead+Press+exercise+tutorial+proper+form,Beginner,Compound,press_logic,Shoulder Pain,Band Y-Raise,Smith Standing Military Press,
Band Two Legs Calf Raise - (Band Under Both Legs) V. 2,Lower Legs,Band,https://www.youtube.com/embed?listType=search&list=Band+Two+Legs+Calf+Raise+-+%28Band+Under+Both+Legs%29+V.+2+exercise+tutorial+proper+form,Beginner,Compound,general_logic,Knee Pain,Barbell Floor Calf Raise,Smith Toe Raise,
Band Underhand Pulldown,Back,Band,https://www.youtube.com/embed?listType=search&list=Band+Underhand+Pulldown+exercise+tutorial+proper+form,Advanced,Compound,general_logic,Back Pain,Barbell Bent Arm Pullover,Smith Shrug,
Band V-Up,Waist,Band,https://www.youtube.com/embed?listType=search&list=Band+V-Up+exercise+tutorial+proper+form,Intermediate,Compound,general_logic,Back Pain,Band Vertical Pallof Press,Smith Hip Raise,
Band Vertical Pallof Press,Waist,Band,https://www.youtube.com/embed?listType=search&list=Band+Vertical+Pallof+Press+Waist+variation+94-1+exercise+tutorial+proper+form,Intermediate,Compound,press_logic,Back Pain,Barbell Press Sit-Up,Sledge Hammer,https://wger.de/media/exercise-images/1194/074e1766-4208-4a67-a211-9721772d99b0.png
Band Wrist Curl,Lower Arms,Band,https://www.youtube.com/embed?listType=search&list=Band+Wrist+Curl+Lower+Arms+variation+95-1+exercise+tutorial+proper+form,Beginner,Compound,curl_logic,,Barbell Palms Down Wrist Curl Over A Bench,Wrist Circles,https://wger.de/media/exercise-images/51/f1730f56-7aca-4566-8338-3e42b1bee6e1.webp
Band Y-Raise,Shoulders,Band,https://www.youtube.com/embed?listType=search&list=Band+Y-Raise+exercise+tutorial+proper+form,Beginner,Compound,general_logic,Shoulder Pain,Barbell Front Raise,Smith Standing Behind Head Military Press,
Barbell Alternate Biceps Curl,Upper Arms,Barbell,https://www.youtube.com/embed?listType=search&list=Barbell+Alternate+Biceps+Curl+Upper+Arms+variation+97-1+exercise+tutorial+proper+form,Beginner,Compound,curl_logic,,Barbell Biceps Curl (With Arm Blaster),Triceps Press,https://wger.de/media/exercise-images/1012/8270fdb8-28f1-4eff-b410-af8642085b3f.png
Barbell Bench Front Squat,Upper Legs,Barbell,,Intermediate,Compound,squat_logic,Knee Pain,Barbell Bench Squat,Snatch Pull,https://wger.de/media/exercise-images/1640/bdea82f1-15ef-4649-8b5a-1303cfc178e7.webp
Barbell Bench Press,Chest,Barbell,https://www.youtube.com/embed?listType=search&list=Barbell+Bench+Press+Chest+variation+99-1+exercise+tutorial+proper+form,Intermediate,Compound,press_logic,,Barbell Decline Bench Press,Superman Push-Up,https://wger.de/media/exercise-images/192/Bench-press-1.png
Barbell Bench Squat,Upper Legs,Barbell,,Beginner,Compound,squat_logic,Knee Pain,Barbell Clean And Press,Smith Sumo Squat,https://wger.de/media/exercise-images/1805/f166c599-4c03-42a0-9250-47f82a1f096d.jpg
Barbell Bent Arm Pullover,Back,Barbell,https://www.youtube.com/embed?listType=search&list=Barbell+Bent+Arm+Pullover+exercise+tutorial+proper+form,Beginner,Compound,general_logic,Back Pain,Barbell Bent Over Row,Smith Reverse Grip Bent Over Row,
Barbell Bent Over Row,Back,Barbell,,Intermediate,Compound,row_logic,Back Pain,Barbell Decline Bent Arm Pullover,Smith One Arm Row,https://wger.de/media/exercise-images/1085/2f9a9f90-ea2e-4f3f-b8ca-19aea162fe2d.jpg
Barbell Biceps Curl (With Arm Blaster),Upper Arms,Barbell,,Beginner,Compound,curl_logic,,Barbell Close-Grip Bench Press,Triceps Dips Floor,https://wger.de/media/exercise-images/129/Standing-biceps-curl-1.png
Barbell Clean And Press,Upper Legs,Barbell,,Advanced,Compound,press_logic,Knee Pain,Barbell Clean-Grip Front Squat,Smith Squat,https://wger.de/media/exercise-images/1638/046c09b0-c35d-48d0-a552-39dd49f956d2.webp
Barbell Clean-Grip Front Squat,Upper Legs,Barbell,https://www.youtube.com/embed?listType=search&list=Barbell+Clean-Grip+Front+Squat+exercise+tutorial+proper+form,Intermediate,Compound,squat_logic,Knee Pain,Barbell Deadlift,Smith Sprint Lunge,https://wger.de/media/exercise-images/1640/bdea82f1-15ef-4649-8b5a-1303cfc178e7.webp
Barbell Close-Grip Bench Press,Upper Arms,Barbell,https://www.youtube.com/embed?listType=search&list=Barbell+Close-Grip+Bench+Press+Upper+Arms+variation+106-1+exercise+tutorial+proper+form,Beginner,Compound,press_logic,,Barbell Curl,Triceps Dip (Between Benches),https://wger.de/media/exercise-images/192/Bench-press-1.png
Barbell Curl,Upper Arms,Barbell,https://www.youtube.com/embed?listType=search&list=Barbell+Curl+Upper+Arms+variation+107-1+exercise+tutorial+proper+form,Intermediate,Compound,curl_logic,,Barbell Decline Close Grip To Skull Press,Triceps Dip (Bench Leg),https://wger.de/media/exercise-images/51/f1730f56-7aca-4566-8338-3e42b1bee6e1.webp
Barbell Deadlift,Upper Legs,Barbell,,Beginner,Compound,general_logic,Knee Pain,Barbell Front Chest Squat,Smith Single Leg Split Squat,https://wger.de/media/exercise-images/1088/9f66b288-ce8f-4154-ba80-78fee267263c.jpg
