Name,Target_Muscle,Equipment,Video_URL,Difficulty,Type,Check_Type,Avoid_If,Progression_Next,Alternative_Swap,Wger_Image_URL
Arm Slingers Hanging Straight Legs,Waist,Body Weight,https://v2.exercisedb.io/image/yzS2EjySGDLmhh,Beginner,Compound,general_logic,Back Pain,Arms Overhead Full Sit-Up (Male),Weighted Russian Twist (Legs Up),
Arms Apart Circular Toe Touch (Male),Upper Legs,Body Weight,https://v2.exercisedb.io/image/sGs-MoFgyniLX4,Beginner,Compound,general_logic,Knee Pain,Assisted Lying Glutes Stretch,Weighted Stretch Lunge,
Arms Overhead Full Sit-Up (Male),Waist,Body Weight,https://v2.exercisedb.io/image/WzINsIEOqFbBXG,Intermediate,Compound,general_logic,Back Pain,Assisted Hanging Knee Raise,Weighted Russian Twist,
Assisted Chest Dip (Kneeling),Chest,Leverage Machine,https://v2.exercisedb.io/image/AbxK1fjW5YdIBj,Beginner,Compound,dip_logic,,Assisted Seated Pectoralis Major Stretch With Stability Ball,Wide Hand Push Up,
Assisted Hanging Knee Raise,Waist,Assisted,https://v2.exercisedb.io/image/dgsJoe9nZI6G3Z,Advanced,Compound,general_logic,Back Pain,Assisted Hanging Knee Raise With Throw Down,Weighted Overhead Crunch (On Stability Ball),
Assisted Hanging Knee Raise With Throw Down,Waist,Assisted,https://v2.exercisedb.io/image/apDkfV7kzgRGlV,Beginner,Compound,row_logic,Back Pain,Assisted Lying Leg Raise With Lateral Throw Down,Weighted Hanging Leg-Hip Raise,
Assisted Lying Calves Stretch,Lower Legs,Assisted,https://v2.exercisedb.io/image/FHWElls92kFz7u,Intermediate,Compound,general_logic,Knee Pain,Band Single Leg Calf Raise,Standing Calves Calf Stretch,
Assisted Lying Glutes Stretch,Upper Legs,Assisted,https://v2.exercisedb.io/image/pIPCvG-7PYwJyb,Beginner,Compound,general_logic,Knee Pain,Assisted Lying Gluteus And Piriformis Stretch,Weighted Squat,
Assisted Lying Gluteus And Piriformis Stretch,Upper Legs,Assisted,https://v2.exercisedb.io/image/re-rcIyamJTP9k,Intermediate,Compound,general_logic,Knee Pain,Assisted Prone Hamstring,Weighted Sissy Squat,
Assisted Lying Leg Raise With Lateral Throw Down,Waist,Assisted,https://v2.exercisedb.io/image/tcoPW9l8mI0o23,Advanced,Compound,row_logic,Back Pain,Assisted Lying Leg Raise With Throw Down,Weighted Front Plank,
Assisted Lying Leg Raise With Throw Down,Waist,Assisted,https://v2.exercisedb.io/image/bB-NQ-AJzljNQK,Beginner,Compound,row_logic,Back Pain,Assisted Motion Russian Twist,Weighted Decline Sit-Up,
Assisted Motion Russian Twist,Waist,Medicine Ball,https://v2.exercisedb.io/image/QnFyADdqWwnFB5,Intermediate,Compound,general_logic,Back Pain,Assisted Prone Rectus Femoris Stretch,Weighted Crunch,
Assisted Parallel Close Grip Pull-Up,Back,Leverage Machine,https://v2.exercisedb.io/image/dV2Lj3p2pfkt4c,Beginner,Compound,general_logic,Back Pain,Assisted Pull-Up,Weighted Pull-Up,
Assisted Prone Hamstring,Upper Legs,Assisted,https://v2.exercisedb.io/image/ytpSbFtNhvVICC,Beginner,Compound,general_logic,Knee Pain,Assisted Prone Lying Quads Stretch,Weighted Lunge With Swing,
Assisted Prone Lying Quads Stretch,Upper Legs,Assisted,https://v2.exercisedb.io/image/s55xDjQ5-0dYhP,Intermediate,Compound,general_logic,Knee Pain,Assisted Side Lying Adductor Stretch,Weighted Cossack Squats (Male),
Assisted Prone Rectus Femoris Stretch,Waist,Assisted,https://v2.exercisedb.io/image/KVV3sh0QGYv-NJ,Intermediate,Compound,general_logic,Back Pain,Assisted Sit-Up,Vertical Leg Raise (On Parallel Bars),
Assisted Pull-Up,Back,Leverage Machine,https://v2.exercisedb.io/image/rFSbsEA3x-wTKy,Intermediate,Compound,general_logic,Back Pain,Assisted Standing Chin-Up,Weighted One Hand Pull Up,
Assisted Seated Pectoralis Major Stretch With Stability Ball,Chest,Assisted,https://v2.exercisedb.io/image/V4PlYYE0rlK7tY,Beginner,Compound,general_logic,,Assisted Wide-Grip Chest Dip (Kneeling),Weighted Svend Press,
Assisted Side Lying Adductor Stretch,Upper Legs,Assisted,https://v2.exercisedb.io/image/OZz8IVRYN5EMiU,Advanced,Compound,general_logic,Knee Pain,Backward Jump,Walking Lunge,
Assisted Sit-Up,Waist,Assisted,https://v2.exercisedb.io/image/XlUw13FKk3bpyO,Beginner,Compound,general_logic,Back Pain,Band Alternating V-Up,V-Sit On Floor,
Assisted Standing Chin-Up,Back,Leverage Machine,https://v2.exercisedb.io/image/iD6I6vHUV4flxZ,Intermediate,Compound,general_logic,Back Pain,Assisted Standing Pull-Up,Weighted Muscle Up (On Bar),
Assisted Standing Pull-Up,Back,Leverage Machine,https://v2.exercisedb.io/image/FBiUSf5E1HdC7s,Intermediate,Compound,general_logic,Back Pain,Back Extension On Exercise Ball,Weighted Muscle Up,
Assisted Standing Triceps Extension (With Towel),Upper Arms,Assisted,https://v2.exercisedb.io/image/qnqFpisTx9R-gB,Beginner,Compound,general_logic,,Assisted Triceps Dip (Kneeling),Weighted Triceps Dip On High Parallel Bars,
Assisted Triceps Dip (Kneeling),Upper Arms,Leverage Machine,https://v2.exercisedb.io/image/Wr9I3UD5-miI3Y,Advanced,Compound,dip_logic,,Band Alternating Biceps Curl,Weighted Tricep Dips,
Assisted Wide-Grip Chest Dip (Kneeling),Chest,Leverage Machine,https://v2.exercisedb.io/image/9RWiaQoGBGogXv,Intermediate,Compound,dip_logic,,Band Bench Press,Weighted Straight Bar Dip,
Astride Jumps (Male),Cardio,Body Weight,https://v2.exercisedb.io/image/GzvxMK5EkJ6H43,Intermediate,Compound,general_logic,,Back And Forth Step,Wheel Run,
Back And Forth Step,Cardio,Body Weight,https://v2.exercisedb.io/image/akGmnMj1gqgJU3,Intermediate,Compound,general_logic,,Bear Crawl,Walking On Stepmill,
Back Extension On Exercise Ball,Back,Stability Ball,https://v2.exercisedb.io/image/ukCeypFhLV0YC6,Beginner,Compound,general_logic,Back Pain,Back Lever,Weighted Hyperextension (On Stability Ball),
Back Lever,Back,Body Weight,https://v2.exercisedb.io/image/tbNQwmPPyh4Eds,Intermediate,Compound,general_logic,Back Pain,Back Pec Stretch,Weighted Close Grip Chin-Up On Dip Cage,
Back Pec Stretch,Back,Body Weight,https://v2.exercisedb.io/image/RWvKeWqoM6lpAb,Advanced,Compound,general_logic,Back Pain,Band Assisted Pull-Up,Upward Facing Dog,
Backward Jump,Upper Legs,Body Weight,https://v2.exercisedb.io/image/HHJUonCfKdoEpz,Intermediate,Compound,general_logic,Knee Pain,Balance Board,Twist Hip Lift,
Balance Board,Upper Legs,Body Weight,https://v2.exercisedb.io/image/WDnFXk4aWMCJJi,Beginner,Compound,general_logic,Knee Pain,Band Bent-Over Hip Extension,Trap Bar Deadlift,
Band Alternating Biceps Curl,Upper Arms,Band,https://v2.exercisedb.io/image/y5DNwJsa0ZCGV3,Beginner,Compound,curl_logic,,Band Close-Grip Push-Up,Weighted Three Bench Dips,
Band Alternating V-Up,Waist,Band,https://v2.exercisedb.io/image/3aZxWHvfEhzXVc,Advanced,Compound,general_logic,Back Pain,Band Assisted Wheel Rollerout,Twisted Leg Raise (Female),
Band Assisted Pull-Up,Back,Band,https://v2.exercisedb.io/image/dskU4kGOd518yz,Advanced,Compound,general_logic,Back Pain,Band Close-Grip Pulldown,Upper Back Stretch,
Band Assisted Wheel Rollerout,Waist,Band,https://v2.exercisedb.io/image/G-DQIUeMowP21I,Intermediate,Compound,general_logic,Back Pain,Band Bicycle Crunch,Twisted Leg Raise,
Band Bench Press,Chest,Band,https://v2.exercisedb.io/image/oyWqo0D8zSMbyD,Beginner,Compound,press_logic,,Band One Arm Twisting Chest Press,Weighted Drop Push Up,
Band Bent-Over Hip Extension,Upper Legs,Band,https://v2.exercisedb.io/image/IqkGQertTRdlLS,Intermediate,Compound,general_logic,Knee Pain,Band Hip Lift,Tire Flip,
Band Bicycle Crunch,Waist,Band,https://v2.exercisedb.io/image/TLPldSbVb1qVb6,Beginner,Compound,crunch_logic,Back Pain,Band Horizontal Pallof Press,Tuck Crunch,
Band Close-Grip Pulldown,Back,Band,https://v2.exercisedb.io/image/swRMjq6S04wu03,Intermediate,Compound,general_logic,Back Pain,Band Fixed Back Close Grip Pulldown,Two Toe Touch (Male),
Band Close-Grip Push-Up,Upper Arms,Band,https://v2.exercisedb.io/image/bepXYwVrQpSP7W,Intermediate,Compound,pushup_logic,,Band Concentration Curl,Weighted Standing Curl,
Band Concentration Curl,Upper Arms,Band,https://v2.exercisedb.io/image/-FDJYdjMlHuHvl,Intermediate,Compound,curl_logic,,Band One Arm Overhead Biceps Curl,Weighted Seated Bicep Curl (On Stability Ball),
Band Fixed Back Close Grip Pulldown,Back,Band,https://v2.exercisedb.io/image/5GaQGExwrKb3Fc,Beginner,Compound,general_logic,Back Pain,Band Fixed Back Underhand Pulldown,Twin Handle Parallel Grip Lat Pulldown,
Band Fixed Back Underhand Pulldown,Back,Band,https://v2.exercisedb.io/image/GMidnBMq5aUiEa,Beginner,Compound,general_logic,Back Pain,Band Kneeling One Arm Pulldown,Suspended Row,
Band Front Lateral Raise,Shoulders,Band,https://v2.exercisedb.io/image/Lnwg2eVOyiGGH1,Intermediate,Compound,general_logic,Shoulder Pain,Band Front Raise,Weighted Round Arm,
Band Front Raise,Shoulders,Band,https://v2.exercisedb.io/image/jbfxRRc0JKrcCT,Advanced,Compound,general_logic,Shoulder Pain,Band Reverse Fly,Weighted Kneeling Step With Swing,
Band Hip Lift,Upper Legs,Band,https://v2.exercisedb.io/image/KdWV-YloMq0lm9,Intermediate,Compound,general_logic,Knee Pain,Band Lying Hip Internal Rotation,Swimmer Kicks V. 2 (Male),
Band Horizontal Pallof Press,Waist,Band,https://v2.exercisedb.io/image/56aCylySUzvGs1,Beginner,Compound,press_logic,Back Pain,Band Jack Knife Sit-Up,Suspended Reverse Crunch,
Band Jack Knife Sit-Up,Waist,Band,https://v2.exercisedb.io/image/b1YfIUjoDdQK8u,Beginner,Compound,general_logic,Back Pain,Band Kneeling Twisting Crunch,Suspended Abdominal Fallout,
Band Kneeling One Arm Pulldown,Back,Band,https://v2.exercisedb.io/image/JQVOWrxtB2giPX,Intermediate,Compound,general_logic,Back Pain,Band One Arm Standing Low Row,Standing Pelvic Tilt,
Band Kneeling Twisting Crunch,Waist,Band,https://v2.exercisedb.io/image/Wdw0k2yOFiVj8G,Beginner,Compound,crunch_logic,Back Pain,Band Lying Straight Leg Raise,Straddle Planche,
Band Lying Hip Internal Rotation,Upper Legs,Band,https://v2.exercisedb.io/image/jWZdVY1StuoGvO,Beginner,Compound,general_logic,Knee Pain,Band One Arm Single Leg Split Squat,Suspended Split Squat,
Band Lying Straight Leg Raise,Waist,Band,https://v2.exercisedb.io/image/gHDAaME6JOJp6l,Intermediate,Compound,general_logic,Back Pain,Band Push Sit-Up,Straddle Maltese,
Band One Arm Overhead Biceps Curl,Upper Arms,Band,https://v2.exercisedb.io/image/FwI2FmWyR25JVQ,Beginner,Compound,curl_logic,,Band Side Triceps Extension,Weighted Bench Dip,
Band One Arm Single Leg Split Squat,Upper Legs,Band,https://v2.exercisedb.io/image/R6UsFbw3QI464s,Intermediate,Compound,squat_logic,Knee Pain,Band Pull Through,Straight Leg Outer Hip Abductor,
Band One Arm Standing Low Row,Back,Band,https://v2.exercisedb.io/image/tToiFlCsLyrHUn,Intermediate,Compound,row_logic,Back Pain,Band One Arm Twisting Seated Row,Standing Lateral Stretch,
Band One Arm Twisting Chest Press,Chest,Band,https://v2.exercisedb.io/image/DTf-uZqoHjtf1-,Beginner,Compound,press_logic,,Barbell Bench Press,Suspended Push-Up,
Band One Arm Twisting Seated Row,Back,Band,https://v2.exercisedb.io/image/2nRcOE7GfIEp8i,Intermediate,Compound,row_logic,Back Pain,Band Shrug,Standing Archer,
Band Pull Through,Upper Legs,Band,https://v2.exercisedb.io/image/6T-OLH3UheXIkr,Intermediate,Compound,general_logic,Knee Pain,Band Seated Hip Internal Rotation,Standing Single Leg Curl,
Band Push Sit-Up,Waist,Band,https://v2.exercisedb.io/image/laNCbGnyNwVNGe,Intermediate,Compound,general_logic,Back Pain,Band Seated Twist,Standing Wheel Rollerout,
Band Reverse Fly,Shoulders,Band,https://v2.exercisedb.io/image/1Tsu9UbqOeYcwr,Beginner,Compound,general_logic,Shoulder Pain,Band Shoulder Press,Weighted Front Raise,
Band Reverse Wrist Curl,Lower Arms,Band,https://v2.exercisedb.io/image/sP6B0BzyAwnsyC,Beginner,Compound,curl_logic,,Band Wrist Curl,Wrist Rollerer,
Band Seated Hip Internal Rotation,Upper Legs,Band,https://v2.exercisedb.io/image/lC5PrlCnred180,Beginner,Compound,general_logic,Knee Pain,Band Single Leg Split Squat,Standing Hamstring And Calf Stretch With Strap,
Band Seated Twist,Waist,Band,https://v2.exercisedb.io/image/xXUUFZnjEZpSto,Beginner,Compound,general_logic,Back Pain,Band Standing Crunch,Stability Ball Crunch (Full Range Hands Behind Head),
Band Shoulder Press,Shoulders,Band,https://v2.exercisedb.io/image/t9gbH8wqasEmb0,Beginner,Compound,press_logic,Shoulder Pain,Band Standing Rear Delt Row,Standing Behind Neck Press,
Band Shrug,Back,Band,https://v2.exercisedb.io/image/IQa5iTUWR-3zHW,Beginner,Compound,general_logic,Back Pain,Band Straight Leg Deadlift,Spine Stretch,
Band Side Triceps Extension,Upper Arms,Band,https://v2.exercisedb.io/image/gQFCfkr8GVtTPk,Intermediate,Compound,general_logic,,Barbell Alternate Biceps Curl,Triceps Stretch,
Band Single Leg Calf Raise,Lower Legs,Band,https://v2.exercisedb.io/image/tgDhZRp45npWII,Advanced,Compound,general_logic,Knee Pain,Band Single Leg Reverse Calf Raise,Standing Calves,
Band Single Leg Reverse Calf Raise,Lower Legs,Band,https://v2.exercisedb.io/image/r1buBLtWssfNHS,Beginner,Compound,general_logic,Knee Pain,Band Two Legs Calf Raise - (Band Under Both Legs) V. 2,Standing Calf Raise (On A Staircase),
Band Single Leg Split Squat,Upper Legs,Band,https://v2.exercisedb.io/image/Jze8NwBbLSDIZZ,Beginner,Compound,squat_logic,Knee Pain,Band Squat,Squat To Overhead Reach With Twist,
Band Squat,Upper Legs,Band,https://v2.exercisedb.io/image/q4FL9Trsd5OkqN,Beginner,Compound,squat_logic,Knee Pain,Band Squat Row,Squat To Overhead Reach,
Band Squat Row,Upper Legs,Band,https://v2.exercisedb.io/image/q2OJw-nM7CbrZH,Intermediate,Compound,squat_logic,Knee Pain,Band Step-Up,Squat On Bosu Ball,
Band Standing Crunch,Waist,Band,https://v2.exercisedb.io/image/I6hEzMwZTJ3cK6,Intermediate,Compound,crunch_logic,Back Pain,Band Standing Twisting Crunch,Spine Twist,
Band Standing Rear Delt Row,Shoulders,Band,https://v2.exercisedb.io/image/o1qy67cXNqa0S-,Advanced,Compound,row_logic,Shoulder Pain,Band Twisting Overhead Press,Smith Upright Row,
Band Standing Twisting Crunch,Waist,Band,https://v2.exercisedb.io/image/RFUpTNecnV1Lf2,Beginner,Compound,crunch_logic,Back Pain,Band V-Up,Spell Caster,
Band Step-Up,Upper Legs,Band,https://v2.exercisedb.io/image/zH7DX4CLRAwoeC,Advanced,Compound,general_logic,Knee Pain,Band Stiff Leg Deadlift,Squat Jerk,
Band Stiff Leg Deadlift,Upper Legs,Band,https://v2.exercisedb.io/image/7MfPfp8eGOf20b,Beginner,Compound,general_logic,Knee Pain,Band Straight Back Stiff Leg Deadlift,Split Squats,
Band Straight Back Stiff Leg Deadlift,Upper Legs,Band,https://v2.exercisedb.io/image/-fu7t-VS0wvwEi,Intermediate,Compound,general_logic,Knee Pain,Barbell Bench Front Squat,Spider Crawl Push Up,
Band Straight Leg Deadlift,Back,Band,https://v2.exercisedb.io/image/jCOHzNC9plpuTI,Advanced,Compound,general_logic,Back Pain,Band Underhand Pulldown,Sphinx,
Band Twisting Overhead Press,Shoulders,Band,https://v2.exercisedb.io/image/m0lAHOlsngHQ93,Beginner,Compound,press_logic,Shoulder Pain,Band Y-Raise,Smith Standing Military Press,
Band Two Legs Calf Raise - (Band Under Both Legs) V. 2,Lower Legs,Band,https://v2.exercisedb.io/image/TrXQWKtgFRJuDh,Beginner,Compound,general_logic,Knee Pain,Barbell Floor Calf Raise,Smith Toe Raise,
Band Underhand Pulldown,Back,Band,https://v2.exercisedb.io/image/5O7tgl6-56IKmG,Advanced,Compound,general_logic,Back Pain,Barbell Bent Arm Pullover,Smith Shrug,
Band V-Up,Waist,Band,https://v2.exercisedb.io/image/ePwIwwQWmM7zZX,Intermediate,Compound,general_logic,Back Pain,Band Vertical Pallof Press,Smith Hip Raise,
Band Vertical Pallof Press,Waist,Band,https://v2.exercisedb.io/image/vTLs3CG4iTTQBQ,Intermediate,Compound,press_logic,Back Pain,Barbell Press Sit-Up,Sledge Hammer,
Band Wrist Curl,Lower Arms,Band,https://v2.exercisedb.io/image/RQUBteDgupiwgl,Beginner,Compound,curl_logic,,Barbell Palms Down Wrist Curl Over A Bench,Wrist Circles,
Band Y-Raise,Shoulders,Band,https://v2.exercisedb.io/image/yOoEhSesU5SZRU,Beginner,Compound,general_logic,Shoulder Pain,Barbell Front Raise,Smith Standing Behind Head Military Press,
Barbell Alternate Biceps Curl,Upper Arms,Barbell,https://v2.exercisedb.io/image/6eatsU45zhybk2,Beginner,Compound,curl_logic,,Barbell Biceps Curl (With Arm Blaster),Triceps Press,
Barbell Bench Front Squat,Upper Legs,Barbell,https://v2.exercisedb.io/image/74DX1mCZgri99f,Intermediate,Compound,squat_logic,Knee Pain,Barbell Bench Squat,Snatch Pull,
Barbell Bench Press,Chest,Barbell,https://v2.exercisedb.io/image/ZZPby9wkLJSFcL,Intermediate,Compound,press_logic,,Barbell Decline Bench Press,Superman Push-Up,
Barbell Bench Squat,Upper Legs,Barbell,https://v2.exercisedb.io/image/RaH8qnuehbXUKO,Beginner,Compound,squat_logic,Knee Pain,Barbell Clean And Press,Smith Sumo Squat,
Barbell Bent Arm Pullover,Back,Barbell,https://v2.exercisedb.io/image/w3qIda45giizel,Beginner,Compound,general_logic,Back Pain,Barbell Bent Over Row,Smith Reverse Grip Bent Over Row,
Barbell Bent Over Row,Back,Barbell,https://v2.exercisedb.io/image/HFEaRFQkIRd9Os,Intermediate,Compound,row_logic,Back Pain,Barbell Decline Bent Arm Pullover,Smith One Arm Row,
Barbell Biceps Curl (With Arm Blaster),Upper Arms,Barbell,https://v2.exercisedb.io/image/bSVvbQjgnpyYu7,Beginner,Compound,curl_logic,,Barbell Close-Grip Bench Press,Triceps Dips Floor,
Barbell Clean And Press,Upper Legs,Barbell,https://v2.exercisedb.io/image/HP-t40T1wc-jaC,Advanced,Compound,press_logic,Knee Pain,Barbell Clean-Grip Front Squat,Smith Squat,
Barbell Clean-Grip Front Squat,Upper Legs,Barbell,https://v2.exercisedb.io/image/tKYA7teBzUdvMw,Intermediate,Compound,squat_logic,Knee Pain,Barbell Deadlift,Smith Sprint Lunge,
Barbell Close-Grip Bench Press,Upper Arms,Barbell,https://v2.exercisedb.io/image/6RZyXFI5XsIg8-,Beginner,Compound,press_logic,,Barbell Curl,Triceps Dip (Between Benches),
Barbell Curl,Upper Arms,Barbell,https://v2.exercisedb.io/image/ObboNJAEiU1WS8,Intermediate,Compound,curl_logic,,Barbell Decline Close Grip To Skull Press,Triceps Dip (Bench Leg),
Barbell Deadlift,Upper Legs,Barbell,https://v2.exercisedb.io/image/zoY2MmNL2IK4qP,Beginner,Compound,general_logic,Knee Pain,Barbell Front Chest Squat,Smith Single Leg Split Squat,
Barbell Decline Bench Press,Chest,Barbell,https://v2.exercisedb.io/image/PNJD51IJJX6j8D,Beginner,Compound,press_logic,,Barbell Decline Pullover,Smith Wide Grip Decline Bench Press,
Barbell Decline Bent Arm Pullover,Back,Barbell,https://v2.exercisedb.io/image/Wh8XtfYom9XOcF,Advanced,Compound,general_logic,Back Pain,Barbell Decline Wide-Grip Pullover,Smith Narrow Row,
Barbell Decline Close Grip To Skull Press,Upper Arms,Barbell,https://v2.exercisedb.io/image/sHm0SzmuyadvKa,Beginner,Compound,press_logic,,Barbell Drag Curl,Triceps Dip,
Barbell Decline Pullover,Chest,Barbell,https://v2.exercisedb.io/image/WReEyiUY7QeKEu,Beginner,Compound,general_logic,,Barbell Decline Wide-Grip Press,Smith Wide Grip Bench Press,
Barbell Decline Wide-Grip Press,Chest,Barbell,https://v2.exercisedb.io/image/-NXtFzKNyzCmBL,Advanced,Compound,press_logic,,Barbell Front Raise And Pullover,Smith Reverse-Grip Press,
Barbell Decline Wide-Grip Pullover,Back,Barbell,https://v2.exercisedb.io/image/vq5SEVPv-8EfNE,Beginner,Compound,general_logic,Back Pain,Barbell Incline Row,Smith Bent Over Row,
Barbell Drag Curl,Upper Arms,Barbell,https://v2.exercisedb.io/image/bLCk-wzZ8YhyXD,Intermediate,Compound,curl_logic,,Barbell Incline Close Grip Bench Press,Three Bench Dip,
Barbell Floor Calf Raise,Lower Legs,Barbell,https://v2.exercisedb.io/image/Jck2RjRosIqYg5,Intermediate,Compound,general_logic,Knee Pain,Barbell Seated Calf Raise,Smith Standing Leg Calf Raise,
Barbell Front Chest Squat,Upper Legs,Barbell,https://v2.exercisedb.io/image/n-1wAxxu8uBePV,Advanced,Compound,squat_logic,Knee Pain,Barbell Front Squat,Smith Low Bar Squat,
Barbell Front Raise,Shoulders,Barbell,https://v2.exercisedb.io/image/UHiEFrsbeCmueI,Beginner,Compound,general_logic,Shoulder Pain,Barbell One Arm Snatch,Smith Shoulder Press,
Barbell Front Raise And Pullover,Chest,Barbell,https://v2.exercisedb.io/image/C-vBZcN82wrXtP,Advanced,Compound,general_logic,,Barbell Guillotine Bench Press,Smith Machine Reverse Decline Close Grip Bench Press,
Barbell Front Squat,Upper Legs,Barbell,https://v2.exercisedb.io/image/wYAHVkvxYKuzwA,Intermediate,Compound,squat_logic,Knee Pain,Barbell Full Squat,Smith Leg Press,
Barbell Full Squat,Upper Legs,Barbell,https://v2.exercisedb.io/image/50tPNxJrxCBohN,Intermediate,Compound,squat_logic,Knee Pain,Barbell Full Squat (Back Pov),Smith Hack Squat,
Barbell Full Squat (Back Pov),Upper Legs,Barbell,https://v2.exercisedb.io/image/l4UVfDOFcezjOh,Intermediate,Compound,squat_logic,Knee Pain,Barbell Full Squat (Side Pov),Smith Full Squat,
Barbell Full Squat (Side Pov),Upper Legs,Barbell,https://v2.exercisedb.io/image/b-dkcszdwg-tsM,Beginner,Compound,squat_logic,Knee Pain,Barbell Full Zercher Squat,Smith Front Squat (Clean Grip),
Barbell Full Zercher Squat,Upper Legs,Barbell,https://v2.exercisedb.io/image/BqPDTLk8EutAfE,Beginner,Compound,squat_logic,Knee Pain,Barbell Glute Bridge,Smith Deadlift,
Barbell Glute Bridge,Upper Legs,Barbell,https://v2.exercisedb.io/image/h5ExSM7fzolTGv,Beginner,Compound,general_logic,Knee Pain,Barbell Glute Bridge Two Legs On Bench (Male),Smith Chair Squat,
Barbell Glute Bridge Two Legs On Bench (Male),Upper Legs,Barbell,https://v2.exercisedb.io/image/bw792FUAiLF1HU,Beginner,Compound,general_logic,Knee Pain,Barbell Good Morning,Smith Bent Knee Good Morning,
Barbell Good Morning,Upper Legs,Barbell,https://v2.exercisedb.io/image/Fu5W2baD3osehL,Intermediate,Compound,general_logic,Knee Pain,Barbell Hack Squat,Sled Lying Squat,
Barbell Guillotine Bench Press,Chest,Barbell,https://v2.exercisedb.io/image/tZaNqKhurv4Rev,Intermediate,Compound,press_logic,,Barbell Incline Bench Press,Smith Incline Shoulder Raises,
Barbell Hack Squat,Upper Legs,Barbell,https://v2.exercisedb.io/image/X7nhpCB7YOE2Zt,Beginner,Compound,squat_logic,Knee Pain,Barbell High Bar Squat,Sled Hack Squat,
Barbell High Bar Squat,Upper Legs,Barbell,https://v2.exercisedb.io/image/jUXdQTQrRAwYKP,Advanced,Compound,squat_logic,Knee Pain,Barbell Jefferson Squat,Sled Closer Hack Squat,
Barbell Incline Bench Press,Chest,Barbell,https://v2.exercisedb.io/image/w6eEQMZGhYJZLn,Beginner,Compound,press_logic,,Barbell Incline Shoulder Raise,Smith Incline Reverse-Grip Press,
Barbell Incline Close Grip Bench Press,Upper Arms,Barbell,https://v2.exercisedb.io/image/nXgtrgtThcj-0r,Intermediate,Compound,press_logic,,Barbell Incline Reverse-Grip Press,Stalder Press,
Barbell Incline Reverse-Grip Press,Upper Arms,Barbell,https://v2.exercisedb.io/image/Ag6jJTVPPtdFEm,Advanced,Compound,press_logic,,Barbell Jm Bench Press,Smith Machine Incline Tricep Extension,
Barbell Incline Row,Back,Barbell,https://v2.exercisedb.io/image/-xV7Eu25OGa9N3,Advanced,Compound,row_logic,Back Pain,Barbell One Arm Bent Over Row,Smith Back Shrug,
Barbell Incline Shoulder Raise,Chest,Barbell,https://v2.exercisedb.io/image/kykch2rmvW6P7T,Advanced,Compound,general_logic,,Barbell Reverse Grip Decline Bench Press,Smith Incline Bench Press,
Barbell Jefferson Squat,Upper Legs,Barbell,https://v2.exercisedb.io/image/pbHeDAJFrV4g9i,Beginner,Compound,squat_logic,Knee Pain,Barbell Jump Squat,Sled 45В° Leg Wide Press,
Barbell Jm Bench Press,Upper Arms,Barbell,https://v2.exercisedb.io/image/Hmgb5e9spuJAfZ,Beginner,Compound,press_logic,,Barbell Lying Back Of The Head Tricep Extension,Smith Machine Decline Close Grip Bench Press,
